Fit #1
ac8 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),1.58,0.02
kexAB (s^-1),36,2
R1 (s^-1),1.45,0.16
R2 (s^-1),30.86,0.16
Red. Chi-sq,0.60
