Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.020,0.020
dwB (ppm),7.07,32.32
kexAB (s^-1),4453,47885
R1 (s^-1),4.29,1.37
R2 (s^-1),37.52,3.64
Red. Chi-sq,9.11
