Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),5.04,0.55
kexAB (s^-1),3532,1236
R1 (s^-1),2.98,1.20
R2 (s^-1),26.87,2.98
Red. Chi-sq,9.83
