Fit #1
gc1p Pars,Fit Value,Error
pB (%),1.600,1.600
dwB (ppm),1.92,0.11
kexAB (s^-1),4049,407
R1 (s^-1),3.44,0.12
R2 (s^-1),10.56,0.61
Red. Chi-sq,4.85
