Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),5.26,0.82
kexAB (s^-1),3101,1941
R1 (s^-1),2.51,0.20
R2 (s^-1),27.77,0.62
Red. Chi-sq,1.71
