Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),0.83,0.06
kexAB (s^-1),5726,591
R1 (s^-1),2.02,0.08
R2 (s^-1),22.04,0.42
Red. Chi-sq,0.26
