Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),2.38,0.08
kexAB (s^-1),3798,267
R1 (s^-1),1.78,0.06
R2 (s^-1),23.01,0.18
Red. Chi-sq,0.13
