Fit #1
gc1p Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),3.63,0.03
kexAB (s^-1),31,1
R1 (s^-1),2.21,0.08
R2 (s^-1),14.57,0.09
Red. Chi-sq,0.41
