Fit #1
gc8 Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),2.82,0.05
kexAB (s^-1),872,25
R1 (s^-1),1.72,0.10
R2 (s^-1),21.92,0.13
Red. Chi-sq,0.40
