Fit #1
gc1p Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),3.79,0.06
kexAB (s^-1),872,25
R1 (s^-1),1.33,0.11
R2 (s^-1),16.24,0.19
Red. Chi-sq,0.40
