Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),1.567,0.017
dwB (ppm),2.60,0.02
kexAB (s^-1),1112,20
R1 (s^-1),4.84,0.04
R2 (s^-1),11.87,0.06
Red. Chi-sq,0.35
