Fit #1
T8_N3_Off Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),-0.69,0.03
kexAB (s^-1),509,71
R1 (s^-1),1.44,0.03
R2 (s^-1),7.95,0.05
Red. Chi-sq,0.23
