Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),4.94,0.35
kexAB (s^-1),3494,801
R1 (s^-1),1.55,0.20
R2 (s^-1),19.93,0.53
Red. Chi-sq,0.88
