Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),4.27,4.27
kexAB (s^-1),31578,1910
R1 (s^-1),2.58,0.05
R2 (s^-1),16.31,0.27
Red. Chi-sq,0.32
