Fit #1
ac8 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),2.40,0.07
kexAB (s^-1),596,17
R1 (s^-1),0.10,0.61
R2 (s^-1),35.57,0.64
Red. Chi-sq,1.88
