Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.550,0.550
dwB (ppm),2.88,0.07
kexAB (s^-1),2524,132
R1 (s^-1),1.29,0.12
R2 (s^-1),28.75,0.23
Red. Chi-sq,0.18
