Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.886,0.041
dwB (ppm),3.34,0.11
kexAB (s^-1),3525,208
R1 (s^-1),0.65,0.17
R2 (s^-1),26.51,0.46
Red. Chi-sq,0.21
