Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),1.46,0.03
kexAB (s^-1),1381,143
R1 (s^-1),5.71,0.25
R2 (s^-1),11.67,0.44
Red. Chi-sq,17.97
