Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),20.000,20.000
dwB (ppm),4.27,4.27
kexAB (s^-1),100000,31076
R1 (s^-1),1.00,0.10
R2 (s^-1),6.16,8.09
Red. Chi-sq,0.19
