Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),-3.47,7.60
kexAB (s^-1),4314,16100
R1 (s^-1),4.74,0.09
R2 (s^-1),21.37,0.34
Red. Chi-sq,3.52
