Fit #1
G7C1p_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),0.72,0.07
kexAB (s^-1),1551,275
R1 (s^-1),1.55,0.04
R2 (s^-1),21.39,0.07
Red. Chi-sq,0.99
