Fit #1
G7N1_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),-1.72,0.11
kexAB (s^-1),1551,275
R1 (s^-1),2.06,0.02
R2 (s^-1),8.35,0.05
Red. Chi-sq,0.99
