Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),7.00,1.59
kexAB (s^-1),6661,2442
R1 (s^-1),1.75,0.09
R2 (s^-1),31.21,0.95
Red. Chi-sq,0.86
