Fit #1
G7C1p_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),4.36,0.18
kexAB (s^-1),81,6
R1 (s^-1),1.26,0.04
R2 (s^-1),21.20,0.05
Red. Chi-sq,0.81
