Fit #1
G7C8_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),3.93,0.27
kexAB (s^-1),81,6
R1 (s^-1),1.35,0.06
R2 (s^-1),30.43,0.08
Red. Chi-sq,0.81
