Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),2.69,0.16
kexAB (s^-1),341,35
R1 (s^-1),1.65,0.07
R2 (s^-1),14.63,0.08
Red. Chi-sq,0.22
