Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),1.47,0.04
kexAB (s^-1),35,4
R1 (s^-1),1.98,0.10
R2 (s^-1),16.61,0.14
Red. Chi-sq,0.60
