Fit #1
gc1p Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),3.86,0.08
kexAB (s^-1),111,3
R1 (s^-1),1.53,0.14
R2 (s^-1),17.47,0.20
Red. Chi-sq,0.61
