Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),11.21,9.48
kexAB (s^-1),8644,8732
R1 (s^-1),1.83,0.12
R2 (s^-1),31.84,2.58
Red. Chi-sq,1.23
