Fit #1
G10_C8_Off Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),3.92,0.12
kexAB (s^-1),486,26
R1 (s^-1),0.10,0.76
R2 (s^-1),41.53,1.13
Red. Chi-sq,2.74
