Fit #1
gc8 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),2.77,0.07
kexAB (s^-1),89,3
R1 (s^-1),0.78,0.17
R2 (s^-1),31.11,0.19
Red. Chi-sq,0.42
