Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),3.32,0.24
kexAB (s^-1),2762,626
R1 (s^-1),2.10,0.06
R2 (s^-1),22.34,0.16
Red. Chi-sq,0.23
