Fit #1
G_C1p_Off_clean Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),4.12,4.12
kexAB (s^-1),10,2
R1 (s^-1),2.24,0.10
R2 (s^-1),11.77,0.12
Red. Chi-sq,1.10
