Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),4.27,4.27
kexAB (s^-1),17,25
R1 (s^-1),0.97,0.10
R2 (s^-1),32.15,0.18
Red. Chi-sq,0.17
