Fit #1
g10c8 Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),3.15,0.13
kexAB (s^-1),696,19
R1 (s^-1),0.01,0.48
R2 (s^-1),27.33,0.51
Red. Chi-sq,1.76
