Date : 9/2/2019	Time : 19:09:49	
C:\UVWINLAB\DNA41U1.SP	
15.00	0.6496
15.20	0.6501
15.40	0.6504
15.60	0.6507
15.80	0.6510
16.00	0.6516
16.20	0.6520
16.40	0.6526
16.60	0.6529
16.80	0.6535
17.00	0.6536
17.20	0.6542
17.40	0.6545
17.60	0.6550
17.80	0.6554
18.00	0.6560
18.20	0.6565
18.40	0.6570
18.60	0.6575
18.80	0.6581
19.00	0.6588
19.20	0.6596
19.40	0.6603
19.60	0.6609
19.80	0.6617
20.00	0.6622
20.20	0.6634
20.40	0.6642
20.60	0.6653
20.80	0.6661
21.00	0.6668
21.20	0.6678
21.40	0.6688
21.60	0.6696
21.80	0.6704
22.00	0.6711
22.20	0.6721
22.40	0.6729
22.60	0.6738
22.80	0.6745
23.00	0.6756
23.20	0.6766
23.40	0.6774
23.60	0.6786
23.80	0.6798
24.00	0.6807
24.20	0.6818
24.40	0.6828
24.60	0.6841
24.80	0.6856
25.00	0.6869
25.20	0.6881
25.40	0.6894
25.60	0.6907
25.80	0.6918
26.00	0.6929
26.20	0.6939
26.40	0.6953
26.60	0.6968
26.80	0.6980
27.00	0.6995
27.20	0.7008
27.40	0.7020
27.60	0.7035
27.80	0.7044
28.00	0.7053
28.20	0.7067
28.40	0.7079
28.60	0.7091
28.80	0.7099
29.00	0.7113
29.20	0.7120
29.40	0.7129
29.60	0.7137
29.80	0.7146
30.00	0.7156
30.20	0.7165
30.40	0.7175
30.60	0.7182
30.80	0.7191
31.00	0.7198
31.20	0.7209
31.40	0.7214
31.60	0.7222
31.80	0.7229
32.00	0.7232
32.20	0.7243
32.50	0.7250
32.70	0.7254
33.00	0.7259
33.20	0.7265
33.50	0.7276
33.70	0.7281
34.00	0.7291
34.20	0.7297
34.50	0.7304
34.70	0.7310
35.00	0.7319
35.20	0.7325
35.50	0.7329
35.70	0.7335
36.00	0.7343
36.20	0.7346
36.50	0.7355
36.70	0.7356
37.00	0.7362
37.20	0.7365
37.50	0.7373
37.70	0.7377
38.00	0.7381
38.20	0.7384
38.50	0.7387
38.70	0.7392
39.00	0.7395
39.20	0.7397
39.50	0.7404
39.70	0.7407
40.00	0.7413
40.20	0.7416
40.50	0.7421
40.70	0.7421
41.00	0.7430
41.20	0.7433
41.50	0.7438
41.70	0.7442
42.00	0.7446
42.20	0.7449
42.50	0.7452
42.70	0.7452
43.00	0.7460
43.20	0.7464
43.50	0.7471
43.70	0.7473
44.00	0.7475
44.20	0.7478
44.50	0.7482
44.70	0.7482
45.00	0.7491
45.20	0.7495
45.50	0.7499
45.70	0.7501
46.00	0.7507
46.20	0.7509
46.50	0.7515
46.70	0.7515
47.00	0.7524
47.20	0.7528
47.50	0.7532
47.70	0.7536
48.00	0.7539
48.20	0.7542
48.50	0.7548
48.70	0.7548
49.00	0.7554
49.20	0.7559
49.50	0.7561
49.70	0.7565
50.00	0.7569
50.20	0.7571
50.50	0.7576
50.70	0.7577
51.00	0.7587
51.20	0.7591
51.50	0.7596
51.70	0.7597
52.00	0.7604
52.20	0.7606
52.50	0.7611
52.70	0.7611
53.00	0.7621
53.20	0.7624
53.50	0.7628
53.70	0.7632
54.00	0.7640
54.20	0.7641
54.50	0.7646
54.70	0.7646
55.00	0.7653
55.20	0.7657
55.50	0.7662
55.70	0.7666
56.00	0.7671
56.20	0.7675
56.50	0.7680
56.70	0.7680
57.00	0.7688
Date : 9/2/2019	Time : 20:05:26	


Date : 9/2/2019	Time : 20:05:26	
C:\UVWINLAB\DNA41D1.SP	
57.00	0.7706
56.80	0.7703
56.50	0.7696
56.30	0.7695
56.00	0.7691
55.80	0.7686
55.50	0.7682
55.30	0.7683
55.00	0.7677
54.80	0.7674
54.50	0.7670
54.30	0.7669
54.00	0.7663
53.80	0.7660
53.50	0.7657
53.30	0.7655
53.00	0.7649
52.80	0.7648
52.50	0.7643
52.30	0.7642
52.00	0.7637
51.80	0.7635
51.50	0.7630
51.30	0.7627
51.00	0.7623
50.80	0.7620
50.50	0.7616
50.30	0.7614
50.00	0.7608
49.80	0.7606
49.50	0.7600
49.30	0.7599
49.00	0.7595
48.80	0.7591
48.50	0.7585
48.30	0.7582
48.00	0.7579
47.80	0.7576
47.50	0.7574
47.30	0.7573
47.00	0.7570
46.80	0.7569
46.50	0.7561
46.30	0.7558
46.00	0.7552
45.80	0.7552
45.50	0.7549
45.30	0.7546
45.00	0.7539
44.80	0.7536
44.50	0.7532
44.30	0.7528
44.00	0.7524
43.80	0.7521
43.50	0.7516
43.30	0.7514
43.00	0.7512
42.80	0.7507
42.50	0.7500
42.30	0.7497
42.00	0.7493
41.80	0.7490
41.50	0.7489
41.30	0.7485
41.00	0.7484
40.80	0.7479
40.50	0.7471
