Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),2.93,0.07
kexAB (s^-1),2023,171
R1 (s^-1),2.29,0.08
R2 (s^-1),26.50,0.19
Red. Chi-sq,0.33
