Fit #1
gc1p Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),2.42,0.09
kexAB (s^-1),3018,249
R1 (s^-1),3.25,0.12
R2 (s^-1),10.73,0.46
Red. Chi-sq,3.99
