Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),6.64,7.05
kexAB (s^-1),4723,15659
R1 (s^-1),4.90,1.83
R2 (s^-1),37.63,5.56
Red. Chi-sq,22.46
