Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),1.300,1.300
dwB (ppm),2.76,0.03
kexAB (s^-1),1393,35
R1 (s^-1),4.95,0.07
R2 (s^-1),11.72,0.12
Red. Chi-sq,1.25
