Fit #1
gc8 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),0.66,0.05
kexAB (s^-1),4535,517
R1 (s^-1),2.64,0.08
R2 (s^-1),22.79,0.27
Red. Chi-sq,0.38
