Fit #1
gc1p Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),2.10,0.06
kexAB (s^-1),3349,197
R1 (s^-1),3.07,0.18
R2 (s^-1),12.31,0.51
Red. Chi-sq,1.16
