Fit #1
gc8 Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),1.78,0.05
kexAB (s^-1),3349,197
R1 (s^-1),2.83,0.14
R2 (s^-1),18.93,0.39
Red. Chi-sq,1.16
