Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),2.43,0.05
kexAB (s^-1),421,13
R1 (s^-1),4.60,0.15
R2 (s^-1),13.37,0.18
Red. Chi-sq,6.29
