Fit #1
g10c8 Pars,Fit Value,Error
pB (%),1.300,1.300
dwB (ppm),2.99,0.12
kexAB (s^-1),1350,44
R1 (s^-1),0.51,0.43
R2 (s^-1),26.65,0.49
Red. Chi-sq,1.26
