Fit #1
gc8 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),1.84,0.03
kexAB (s^-1),38,2
R1 (s^-1),2.37,0.05
R2 (s^-1),24.21,0.07
Red. Chi-sq,0.18
