Fit #1
ac8 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),0.65,0.04
kexAB (s^-1),5175,391
R1 (s^-1),2.55,0.12
R2 (s^-1),29.43,0.38
Red. Chi-sq,0.48
