Fit #1
ac1p Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),0.73,0.04
kexAB (s^-1),5175,391
R1 (s^-1),2.36,0.09
R2 (s^-1),19.09,0.36
Red. Chi-sq,0.48
