Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.498,0.038
dwB (ppm),2.44,0.11
kexAB (s^-1),3430,170
R1 (s^-1),2.28,0.08
R2 (s^-1),30.26,0.17
Red. Chi-sq,0.17
