Fit #1
gc8 Pars,Fit Value,Error
pB (%),1.500,1.500
dwB (ppm),3.07,0.04
kexAB (s^-1),197,4
R1 (s^-1),1.26,0.05
R2 (s^-1),27.78,0.08
Red. Chi-sq,0.15
