Fit #1
gc1p Pars,Fit Value,Error
pB (%),1.500,1.500
dwB (ppm),3.59,0.07
kexAB (s^-1),197,4
R1 (s^-1),1.18,0.06
R2 (s^-1),18.50,0.07
Red. Chi-sq,0.15
