Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),3.80,0.03
kexAB (s^-1),873,14
R1 (s^-1),2.95,0.03
R2 (s^-1),19.62,0.07
Red. Chi-sq,0.23
