Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.200,2.200
dwB (ppm),2.56,0.02
kexAB (s^-1),2333,44
R1 (s^-1),2.31,0.14
R2 (s^-1),26.22,0.25
Red. Chi-sq,0.11
