Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.200,2.200
dwB (ppm),3.19,0.02
kexAB (s^-1),2333,44
R1 (s^-1),1.11,0.13
R2 (s^-1),18.43,0.23
Red. Chi-sq,0.11
