Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),3.97,0.58
kexAB (s^-1),2199,813
R1 (s^-1),3.12,0.14
R2 (s^-1),30.15,0.45
Red. Chi-sq,1.11
