Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.559,0.047
dwB (ppm),2.77,0.13
kexAB (s^-1),3068,219
R1 (s^-1),2.96,0.07
R2 (s^-1),24.64,0.22
Red. Chi-sq,0.22
