Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),2.74,0.08
kexAB (s^-1),525,21
R1 (s^-1),2.17,0.05
R2 (s^-1),23.99,0.06
Red. Chi-sq,0.13
