Fit #1
ac8 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),0.96,0.07
kexAB (s^-1),60,8
R1 (s^-1),2.28,0.16
R2 (s^-1),32.39,0.18
Red. Chi-sq,0.81
