Fit #1
ac1p Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),1.30,0.08
kexAB (s^-1),60,8
R1 (s^-1),2.10,0.12
R2 (s^-1),22.51,0.15
Red. Chi-sq,0.81
