Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.700,0.700
dwB (ppm),3.92,0.02
kexAB (s^-1),725,9
R1 (s^-1),2.24,0.03
R2 (s^-1),13.32,0.06
Red. Chi-sq,0.16
