Fit #1
gc8 Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),2.78,0.07
kexAB (s^-1),108,4
R1 (s^-1),1.26,0.10
R2 (s^-1),27.76,0.14
Red. Chi-sq,0.54
