Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),4.61,0.26
kexAB (s^-1),240,16
R1 (s^-1),2.12,0.03
R2 (s^-1),14.19,0.05
Red. Chi-sq,0.26
