Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),6.23,1.32
kexAB (s^-1),3738,2349
R1 (s^-1),4.09,0.96
R2 (s^-1),26.84,2.34
Red. Chi-sq,5.78
