Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),5.71,1.54
kexAB (s^-1),3738,2349
R1 (s^-1),3.27,1.08
R2 (s^-1),32.29,2.58
Red. Chi-sq,5.78
